api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
35,advapi32_RegCreateKeyA,0,hKey,HKEY,IN,1,1
35,advapi32_RegCreateKeyA,1,lpSubKey,LPCSTR,IN,1,1
35,advapi32_RegCreateKeyA,2,phkResult,PHKEY,OUT,1,1
36,advapi32_RegCreateKeyW,0,hKey,HKEY,IN,1,1
36,advapi32_RegCreateKeyW,1,lpSubKey,LPCWSTR,IN,1,1
36,advapi32_RegCreateKeyW,2,phkResult,PHKEY,OUT,1,1
37,advapi32_RegCreateKeyExA,0,hKey,HKEY,IN,1,1
37,advapi32_RegCreateKeyExA,1,lpSubKey,LPCSTR,IN,1,1
37,advapi32_RegCreateKeyExA,2,Reserved,DWORD,IN,0,1
37,advapi32_RegCreateKeyExA,3,lpClass,LPSTR,IN,1,1
37,advapi32_RegCreateKeyExA,4,dwOptions,DWORD,IN,0,1
37,advapi32_RegCreateKeyExA,5,samDesired,REGSAM,IN,0,1
37,advapi32_RegCreateKeyExA,6,lpSecurityAttributes,LPSECURITY_ATTRIBUTES,IN,1,1
37,advapi32_RegCreateKeyExA,7,phkResult,PHKEY,OUT,1,1
37,advapi32_RegCreateKeyExA,8,lpdwDisposition,LPDWORD,OUT,0,1
38,advapi32_RegCreateKeyExW,0,hKey,HKEY,IN,1,1
38,advapi32_RegCreateKeyExW,1,lpSubKey,LPCWSTR,IN,1,1
38,advapi32_RegCreateKeyExW,2,Reserved,DWORD,IN,0,1
38,advapi32_RegCreateKeyExW,3,lpClass,LPWSTR,IN,1,1
38,advapi32_RegCreateKeyExW,4,dwOptions,DWORD,IN,1,1
38,advapi32_RegCreateKeyExW,5,samDesired,REGSAM,IN,0,1
38,advapi32_RegCreateKeyExW,6,lpSecurityAttributes,LPSECURITY_ATTRIBUTES,IN,1,1
38,advapi32_RegCreateKeyExW,7,phkResult,PHKEY,OUT,1,1
38,advapi32_RegCreateKeyExW,8,lpdwDisposition,LPDWORD,OUT,0,1
39,advapi32_RegOpenKeyA,0,hKey,HKEY,IN,1,1
39,advapi32_RegOpenKeyA,1,lpSubKey,LPCSTR,IN,1,1
39,advapi32_RegOpenKeyA,2,phkResult,PHKEY,OUT,1,1
40,advapi32_RegOpenKeyW,0,hKey,HKEY,IN,1,1
40,advapi32_RegOpenKeyW,1,lpSubKey,LPCWSTR,IN,1,1
40,advapi32_RegOpenKeyW,2,phkResult,PHKEY,OUT,1,1
41,advapi32_RegOpenKeyExA,0,hKey,HKEY,IN,1,1
41,advapi32_RegOpenKeyExA,1,lpSubKey,LPCSTR,IN,1,1
41,advapi32_RegOpenKeyExA,2,ulOptions,DWORD,IN,1,1
41,advapi32_RegOpenKeyExA,3,samDesired,REGSAM,IN,0,1
41,advapi32_RegOpenKeyExA,4,phkResult,PHKEY,OUT,1,1
42,advapi32_RegOpenKeyExW,0,hKey,HKEY,IN,1,1
42,advapi32_RegOpenKeyExW,1,lpSubKey,LPCWSTR,IN,1,1
42,advapi32_RegOpenKeyExW,2,ulOptions,DWORD,IN,1,1
42,advapi32_RegOpenKeyExW,3,samDesired,REGSAM,IN,0,1
42,advapi32_RegOpenKeyExW,4,phkResult,PHKEY,OUT,1,1
43,advapi32_RegDeleteKeyA,0,hKey,HKEY,IN,1,1
43,advapi32_RegDeleteKeyA,1,lpSubKey,LPCSTR,IN,1,1
44,advapi32_RegDeleteKeyW,0,hKey,HKEY,IN,1,1
44,advapi32_RegDeleteKeyW,1,lpSubKey,LPCWSTR,IN,1,1
45,advapi32_RegDeleteKeyExA,0,hKey,HKEY,IN,1,1
45,advapi32_RegDeleteKeyExA,1,lpSubKey,LPCSTR,IN,1,1
45,advapi32_RegDeleteKeyExA,2,samDesired,REGSAM,IN,0,1
45,advapi32_RegDeleteKeyExA,3,Reserved,DWORD,IN,0,1
46,advapi32_RegDeleteKeyExW,0,hKey,HKEY,IN,1,1
46,advapi32_RegDeleteKeyExW,1,lpSubKey,LPCWSTR,IN,1,1
46,advapi32_RegDeleteKeyExW,2,samDesired,REGSAM,IN,0,1
46,advapi32_RegDeleteKeyExW,3,Reserved,DWORD,IN,0,1
47,advapi32_RegDeleteValueA,0,hKey,HKEY,IN,1,1
47,advapi32_RegDeleteValueA,1,lpValueName,LPCSTR,IN,1,1
48,advapi32_RegDeleteValueW,0,hKey,HKEY,IN,1,1
48,advapi32_RegDeleteValueW,1,lpValueName,LPCWSTR,IN,1,1
49,advapi32_RegSetValueA,0,hKey,HKEY,IN,1,1
49,advapi32_RegSetValueA,1,lpSubKey,LPCSTR,IN,1,1
49,advapi32_RegSetValueA,2,dwType,DWORD,IN,1,1
49,advapi32_RegSetValueA,3,lpData,LPCSTR,IN,1,1
49,advapi32_RegSetValueA,4,cbData,DWORD,IN,0,1
50,advapi32_RegSetValueW,0,hKey,HKEY,IN,1,1
50,advapi32_RegSetValueW,1,lpSubKey,LPCWSTR,IN,1,1
50,advapi32_RegSetValueW,2,dwType,DWORD,IN,1,1
50,advapi32_RegSetValueW,3,lpData,LPCWSTR,IN,1,1
50,advapi32_RegSetValueW,4,cbData,DWORD,IN,0,1
51,advapi32_RegSetValueExA,0,hKey,HKEY,IN,1,1
51,advapi32_RegSetValueExA,1,lpValueName,LPCSTR,IN,1,1
51,advapi32_RegSetValueExA,2,Reserved,DWORD,IN,0,1
51,advapi32_RegSetValueExA,3,dwType,DWORD,IN,1,1
51,advapi32_RegSetValueExA,4,lpData,BYTE*,IN,1,1
51,advapi32_RegSetValueExA,5,cbData,DWORD,IN,0,1
52,advapi32_RegSetValueExW,0,hKey,HKEY,IN,1,1
52,advapi32_RegSetValueExW,1,lpValueName,LPCWSTR,IN,1,1
52,advapi32_RegSetValueExW,2,Reserved,DWORD,IN,0,1
